video_title,video_id,comment_id,comment_date,updated_date,commenter_url,commenter_name,like_count,top_level_comment_num,top_level_comment,comment_reply
"""Third Presidential Debate""",smkyorC5qwc,z12yztmxyo2rhvyst22bcribtn3ncblx104,2016-10-26T20:32:36.000Z,2016-10-26T20:32:36.000Z,http://www.youtube.com/channel/UCz-Ch2GFDfMGgB_GPBMwAPQ,Evan's Aviation,156,1,I'm Irish and I don't care😂🇨🇮🖕🏻﻿, - 
"""Third Presidential Debate""",smkyorC5qwc,z12yztmxyo2rhvyst22bcribtn3ncblx104.1480644176042278,2016-12-02T02:02:56.000Z,2016-12-02T02:02:56.000Z,http://www.youtube.com/channel/UCQB1tTCYCFr9qPOsppaHv-A,brian earl spilner,0, - , - ,ITS ALL CONTROLLED BY THE ILLUMINATI
"""Third Presidential Debate""",smkyorC5qwc,z12yztmxyo2rhvyst22bcribtn3ncblx104.1480482152145079,2016-11-30T05:02:32.000Z,2016-11-30T05:02:32.000Z,http://www.youtube.com/channel/UCd-rL_fCT-mYuqBTa7HOJfw,Will Dawson,0, - , - ,You were better off under British rule.
"""Third Presidential Debate""",smkyorC5qwc,z12yztmxyo2rhvyst22bcribtn3ncblx104.1480413912193375,2016-11-29T10:05:12.000Z,2016-11-29T10:05:12.000Z,http://www.youtube.com/channel/UCASd4jU-V_piIuMzOYqcNDw,RRebeliTBA,0, - , - ,"ɷɷɷ Heeeeyyy Friends I Have Justt Won Branddd New iPhone 6 From visitt : - 
https://twitter.com/FighterCpmocsb8/status/803536265823956992"
"""Third Presidential Debate""",smkyorC5qwc,z12yztmxyo2rhvyst22bcribtn3ncblx104.1480219600258393,2016-11-27T04:06:40.000Z,2016-11-27T04:06:40.000Z,http://www.youtube.com/channel/UC4Ru_BSWhNfqYX15aGPoClg,Cino colonna,0, - , - ,"ɷ Heeeey Frienddsssss I Have Justttt Wonn Brandd New Samsung Galaxy s7 From 
visitt : - https://t.co/mEhpAmjS2y"
"""Third Presidential Debate""",smkyorC5qwc,z12eupohgrz2jtoqp04cdh0bwrmjdx54wz40k,2016-11-07T06:14:28.000Z,2016-11-07T06:14:28.000Z,http://www.youtube.com/channel/UC8zwIbUYA1Prib8IW3sGqCA,lorderik237,100,2,"Trump and Clinton are merely two different symptoms of the same fatal 
disease﻿", - 
"""Third Presidential Debate""",smkyorC5qwc,z12eupohgrz2jtoqp04cdh0bwrmjdx54wz40k.1478738246258442,2016-11-10T00:37:26.000Z,2016-11-10T00:37:26.000Z,http://www.youtube.com/channel/UCnIz6iGR0gfzV9i13QqHTAg,white gaming,0, - , - ,"This movie is now available toooo wаtch heeeere => 
https://twitter.com/4af24c5fd4e98c86d/status/795842350681460736 The Third 
PPPresidential Deеeebatee Hillary Clinton And Donald Trumр Full Debateeee 
NBC News"
"""Third Presidential Debate""",smkyorC5qwc,z12eupohgrz2jtoqp04cdh0bwrmjdx54wz40k.1478654603787054,2016-11-09T01:23:23.000Z,2016-11-09T01:23:23.000Z,http://www.youtube.com/channel/UCPdOxRnkwR4Ki2Oy4PZcjfA,lewis Garland,2, - , - ,Well said
"""Third Presidential Debate""",smkyorC5qwc,z12eupohgrz2jtoqp04cdh0bwrmjdx54wz40k.1478612133984581,2016-11-08T13:35:33.000Z,2016-11-08T13:35:33.000Z,http://www.youtube.com/channel/UCLX2W4GsbEJfhIZQSzBO7XQ,MrBigEnchilada,3, - , - ,"lorderik237 how? they actually have totally different ideas. they just 
don't say it and their supporters are too dumb to understand it"
"""Third Presidential Debate""",smkyorC5qwc,z12eupohgrz2jtoqp04cdh0bwrmjdx54wz40k.1478567716534517,2016-11-08T01:15:16.000Z,2016-11-08T01:15:16.000Z,http://www.youtube.com/channel/UCW5ToLlgEyFD9_P0rEc8lTw,Ricardo Calvillo,0, - , - ,well said
"""Third Presidential Debate""",smkyorC5qwc,z13ivlfa1teodhvnc22ve5ly3vioivc21,2016-10-26T22:38:33.000Z,2016-10-26T22:38:33.000Z,http://www.youtube.com/channel/UCQ5dUG2cWnhJ0jKHnZjPrEw,Shawn Bailey,124,3,Both Trump and Clinton are unworthy. KICK THEM BOTH OUT!﻿, - 
"""Third Presidential Debate""",smkyorC5qwc,z13ivlfa1teodhvnc22ve5ly3vioivc21.1479485257556081,2016-11-18T16:07:37.000Z,2016-11-18T16:07:37.000Z,http://www.youtube.com/channel/UCZ-KoPdKs3p3R83McX5l41Q,Batta Beru,0, - , - ,+judith smeets Whites only
"""Third Presidential Debate""",smkyorC5qwc,z13ivlfa1teodhvnc22ve5ly3vioivc21.1479470268815368,2016-11-18T11:57:48.000Z,2016-11-18T11:57:48.000Z,http://www.youtube.com/channel/UCkCF334wgLq1D38oiOcHmpQ,judith smeets,0, - , - ,"yeah, go to satanic dinners together"
"""Third Presidential Debate""",smkyorC5qwc,z134sbp5iqymc5lcn23kjbp5zsi2cxs2f,2016-10-26T20:07:09.000Z,2016-10-26T20:07:09.000Z,http://www.youtube.com/channel/UCmgD7YumOtQNPb_IIp7-9XA,Matt S,45,4,"Trump Supporters: I implore you when you vote, triple check your selection. 
If the machine's a ""Smartmatic"", then it's a potentially rigged machine 
owned by George Soros. Demand a Paper Ballot.

http://thetruthdivision.com/2016/10/alert-see-smartmatic-voting-booth-polls-heres-must/
﻿", - 
"""Third Presidential Debate""",smkyorC5qwc,z134sbp5iqymc5lcn23kjbp5zsi2cxs2f.1477752523358660,2016-10-29T14:48:43.000Z,2016-10-29T14:48:43.000Z,http://www.youtube.com/channel/UCKHf-mlwk_H_aIOrRuHr7gg,MultiTarded,1, - , - ,I heard about that.
"""Third Presidential Debate""",smkyorC5qwc,z123t3zpzmegsz54h04cjhoofou3ittgy4w,2016-10-30T18:49:39.000Z,2016-10-30T18:49:39.000Z,http://www.youtube.com/channel/UCiKLigYv5i7gI2jCzBEYUFw,Michael Lucius,49,5,"God it's funny to hear Hillary talk about the Supreme Court since she 
withheld tons of information from them and was completely uncooperative.﻿", - 
"""Third Presidential Debate""",smkyorC5qwc,z123t3zpzmegsz54h04cjhoofou3ittgy4w.1477863840297833,2016-10-30T21:44:00.000Z,2016-10-30T21:44:00.000Z,http://www.youtube.com/channel/UCcmv_s8ciitcgB4PXFNI0xQ,Childhood Obesity & Soda,2, - , - ,"Ikr. She has a history of doing that dating back to when she was the first 
lady."
"""Third Presidential Debate""",smkyorC5qwc,z13bsr1oqr3hybasj23lghyoqvz1e1jis04,2016-11-09T06:14:31.000Z,2016-11-09T06:14:31.000Z,http://www.youtube.com/channel/UCvZgjqZKzAacsyDB34ig9mA,AyDayDay,11,6,"Smoke some weed or take LSD and watch this. Imagine how we got here. We are 
humans watching our masters debate. It's like all a game. Taking our 
attention away from something else. Bigger.﻿", - 
"""Third Presidential Debate""",smkyorC5qwc,z13bsr1oqr3hybasj23lghyoqvz1e1jis04.1480218962975588,2016-11-27T03:56:02.000Z,2016-11-27T03:56:02.000Z,http://www.youtube.com/channel/UCvZgjqZKzAacsyDB34ig9mA,AyDayDay,0, - , - ,+kckarma007 Whatever you say
"""Third Presidential Debate""",smkyorC5qwc,z13bsr1oqr3hybasj23lghyoqvz1e1jis04.1480218229500692,2016-11-27T03:43:49.000Z,2016-11-27T03:43:49.000Z,http://www.youtube.com/channel/UCg9og5bQatXu6sipJSTEAcQ,kckarma007,0, - , - ,AyDayDay I don't do drugs. they turn you into a moron.
"""Third Presidential Debate""",smkyorC5qwc,z13bsr1oqr3hybasj23lghyoqvz1e1jis04.1479181020396033,2016-11-15T03:37:00.000Z,2016-11-15T03:37:00.000Z,http://www.youtube.com/channel/UCvZgjqZKzAacsyDB34ig9mA,AyDayDay,1, - , - ,"No but I took 3 hits of acid and it looked so scripted. Like they put on 
their makeup went in front of that strange blue background and had a 
arguement like a little game for our entertainment, simply puppets of a 
greater evil. I imagined being a civilian from the early civilization 
watching this, what would it look like to them lol"
"""Third Presidential Debate""",smkyorC5qwc,z13bsr1oqr3hybasj23lghyoqvz1e1jis04.1479176156457551,2016-11-15T02:15:56.000Z,2016-11-15T02:15:56.000Z,http://www.youtube.com/channel/UCeqELDnV85rhv9loS8nl1xw,Dominique Despres,0, - , - ,lol
"""Third Presidential Debate""",smkyorC5qwc,z13bsr1oqr3hybasj23lghyoqvz1e1jis04.1478730160767281,2016-11-09T22:22:40.000Z,2016-11-09T22:22:40.000Z,http://www.youtube.com/channel/UCuzmu_FOLCY3S1iQMKmQNDw,Elpeo Puru,1, - , - ,you smoked too much weed. this just makes me want to get up and MAGA.
"""Third Presidential Debate""",smkyorC5qwc,z12lgdsweqzzzzee522owb3whnv3y1kxi04,2016-10-28T21:16:13.000Z,2016-10-28T21:16:13.000Z,http://www.youtube.com/channel/UCxMLNZzWUvIDdPaggBtN0Yg,Eemil partanen,6,7,i vote Franklin Clinton﻿, - 
"""Third Presidential Debate""",smkyorC5qwc,z12lgdsweqzzzzee522owb3whnv3y1kxi04.1478830905870992,2016-11-11T02:21:45.000Z,2016-11-11T02:21:45.000Z,http://www.youtube.com/channel/UC-fNM3gmSp8ctocO8FKPrUQ,Goldhead,0, - , - ,Eemil partanen LOL. It's about time someone commented about his name!!
"""Third Presidential Debate""",smkyorC5qwc,z12lgdsweqzzzzee522owb3whnv3y1kxi04.1477823940727625,2016-10-30T10:39:00.000Z,2016-10-30T10:39:00.000Z,http://www.youtube.com/channel/UCIwShxLKYIZ8Zpyhovlu17Q,Carrefour Colentina,0, - , - ,Eemil partanen
"""Third Presidential Debate""",smkyorC5qwc,z12her5zzoiitd2ok04cht4iqwnpsxayvpc0k,2016-10-29T02:32:47.000Z,2016-10-29T02:32:47.000Z,http://www.youtube.com/channel/UCNnyi0XcTpvb-8p-BmI7XKQ,Vic Demise,59,8,Jesus tits- Trump has a terrible facelift.﻿, - 
"""Third Presidential Debate""",smkyorC5qwc,z12her5zzoiitd2ok04cht4iqwnpsxayvpc0k.1478492487601811,2016-11-07T04:21:27.000Z,2016-11-07T04:21:27.000Z,http://www.youtube.com/channel/UChqTeA1QJ7QRxKYc8Mck-tg,paul bonethruster,0, - , - ,"Diane Campbell my comment was a sarcastic response to the mocking of trumps 
""plastic surgery"" i doubt he's had any...any ways I know all about the 
scandals behind hillary and her getting questions ahead of time. Hillary 
for prison"
"""Third Presidential Debate""",smkyorC5qwc,z12her5zzoiitd2ok04cht4iqwnpsxayvpc0k.1478491305122946,2016-11-07T04:01:45.000Z,2016-11-07T04:01:45.000Z,http://www.youtube.com/channel/UCK7EUcwZqq6Bor2TDr9tkwQ,Diane Campbell (Pittie Chick),2, - , - ,"+paul bonethruster she's on point because she was given the questions and 
studied the answers you moron"
"""Third Presidential Debate""",smkyorC5qwc,z12her5zzoiitd2ok04cht4iqwnpsxayvpc0k.1478255852823670,2016-11-04T10:37:32.000Z,2016-11-04T10:37:32.000Z,http://www.youtube.com/channel/UC5WIBmM9tAMl5ws-JalhBDg,MAYAEULENSE M.E,4, - , - ,He looks like Jeff Dunham's puppet WALTER!
"""Third Presidential Debate""",smkyorC5qwc,z12her5zzoiitd2ok04cht4iqwnpsxayvpc0k.1478200530179302,2016-11-03T19:15:30.000Z,2016-11-03T19:15:30.000Z,http://www.youtube.com/channel/UCs6m22JUwBTr6HApx-Sishw,Kronos92,0, - , - ,"Vic Demise Jesus tits? You are a liable source for information aren't you. 
Go back to masturbating and playing computer games"
"""Third Presidential Debate""",smkyorC5qwc,z12ojrdaboj3z32hw04cjv4agovtsl4yrqs0k,2016-11-08T23:25:11.000Z,2016-11-08T23:25:11.000Z,http://www.youtube.com/channel/UC-phPOWhZt-r_IA_eSZYmSQ,THE BEST GAMER,67,9,Lol who is watching this on election day november 8﻿, - 
"""Third Presidential Debate""",smkyorC5qwc,z12ojrdaboj3z32hw04cjv4agovtsl4yrqs0k.1478729486837573,2016-11-09T22:11:26.000Z,2016-11-09T22:11:26.000Z,http://www.youtube.com/channel/UC04escvfGYXU4s5AU54jVfQ,Cameron Mosley,1, - , - ,Me but on November 9.
"""Third Presidential Debate""",smkyorC5qwc,z12ojrdaboj3z32hw04cjv4agovtsl4yrqs0k.1478685769701648,2016-11-09T10:02:49.000Z,2016-11-09T10:02:49.000Z,http://www.youtube.com/channel/UCzymUXff74xO5eMsup45hXw,cim rive de gier,0, - , - ,"meee hahaha...ha!!!! i'm not even an american but i don't know why i'm 
interested with the results of these elections. Many people worldwide are 
waiting for the results as well."
"""Third Presidential Debate""",smkyorC5qwc,z12ojrdaboj3z32hw04cjv4agovtsl4yrqs0k.1478673170352565,2016-11-09T06:32:50.000Z,2016-11-09T06:32:50.000Z,http://www.youtube.com/channel/UCZ-KoPdKs3p3R83McX5l41Q,Batta Beru,0, - , - ,I was watching but I plucked my eyeballs out two hours ago
"""Third Presidential Debate""",smkyorC5qwc,z12ojrdaboj3z32hw04cjv4agovtsl4yrqs0k.1478662122791155,2016-11-09T03:28:42.000Z,2016-11-09T03:28:42.000Z,http://www.youtube.com/channel/UC-phPOWhZt-r_IA_eSZYmSQ,THE BEST GAMER,0, - , - ,"It would be awesome if guyz can sub to my channel while your commenting or 
liking thank you it would be very appriciated"
"""Third Presidential Debate""",smkyorC5qwc,z12ojrdaboj3z32hw04cjv4agovtsl4yrqs0k.1478662008763916,2016-11-09T03:26:48.000Z,2016-11-09T03:26:48.000Z,http://www.youtube.com/channel/UCnh7BhqsFsazBr1qGMgg1Zg,Cats_101 Woods,0, - , - ,me
"""Third Presidential Debate""",smkyorC5qwc,z120eptg0nfmfbgio04cfbxi1ompc1mbeq40k,2016-11-01T16:47:55.000Z,2016-11-01T16:47:55.000Z,http://www.youtube.com/channel/UCV64x0siPESjJca47ohLnRQ,lunabird89,25,10,Independent NYC voter for trump . police officer for trump !﻿, - 
"""Third Presidential Debate""",smkyorC5qwc,z120eptg0nfmfbgio04cfbxi1ompc1mbeq40k.1480382522607545,2016-11-29T01:22:02.000Z,2016-11-29T01:22:02.000Z,http://www.youtube.com/channel/UCV64x0siPESjJca47ohLnRQ,lunabird89,0, - , - ,"yep i was that one dumb voter. and you would say the crook won the popular 
vote right about now :)"
