,label,text
0,3,"I'm sick and tired of those who say Hillary has no great accomplishments. I 
would say staying out of prison for the crimes she committed in the last 
four decades is a great accomplishment."
1,3,"This is almost terrifying to watch! how can any of these two rule a 
country! #Nobodyforpresident"
2,3,Who's watching this after the election.
3,3,"Yelling over your opponent is not how you win a debate, Donnie."
4,3,"LOOOL Trump. Your temperament is terrible.You're a tyrant. Take several 
seats. and OML if Hilary smiles one more time, I swear I'm gonna jump off 
this roof."
5,3,"You know what's weird? Trump says Mexicans should go back to Mexico,Muslims 
should go back to the west, But he doesn't like saying that americans are 
immigrants."
6,3,"I really don't care what happens because the president doesn't have all the 
power. The U.S.A's main governmental power is divided into three branches, 
as we all know: The Executive Branch, The Legislative Branch, and The 
Judicial Branch. If the president wants to sent out new laws, 2/3 of the 
Legislative Branch must agree on it, or else it would be overwrited."
7,3,THEY BOTH NEED TO STOP INTERRUPTING THAT POOR MAN !!!!!!!!!!
8,2,why is trump always so triggered
9,3,"I don't live in the US, have never been there (I'd love to go though), but 
I still watch these. Your American politics are hilarious ;D"
10,3,Where's Hilary's shoulder shake? Lol
11,3,A small loan of a million dollars
12,3,people ask me why i watch these and idk I find it so entertaining
13,3,"W O W, AMERICA!!!!!!!...you are a country of 319 MILLION people and the 
best you can do for a potential president is one of these two!!!!?!?!?!!!!! 
Would you like to borrow a paddle?? LOL"
14,3,"To me it feels like all the hosts are against Trump and thats not right, 
they should be neutral."
15,3,ANYBODY HERE NOW
16,1,How would you vote for this? It is just impossible😂
17,3,We are soooo going to miss President Obama! 😔😔😔
18,0,"If Hillary Clinton was a ship, she would be called the Titanic! And Donald 
Trump is the iceberg! And we all know what happened to the Titanic!"
19,1,"even though I am a Muslim, even though I am not gonna vote, yet I would 
never vote for a fake person such as Clinton! her laughs, her smiles, her 
answers, even her her nodding are all fake."
20,3,Hilary is a criminal.
21,3,"THANK YOU LORD that I live in South Africa. I just have to choose between a 
bald ass penguin and a nincampoop!!!!"
22,3,"I feel like Trump and Hilary are two divorced parents fighting over custody 
of us, but we kinda just wana go live with grandma."
23,0,"I love Donald Trump. I hate Hilary Cliton! Because she is such a liar and 
she didn't deserve to be president. Donald Trump won the election last 
week, and I'm happy because he and Mike Pence Vice President are going to 
make America great again!"
24,3,"Trump was right. Stop and Frisk did help a lot. According to wall street 
journal, Homicide, Rape and Robbery increased and has been since the new 
person came in"
25,3,"This is literally two grown adults talking over each other like children. 
Seriously, no respect for each other nor for the guy trying to keep them on 
topic. This is a joke."
26,2,"Trump always acting like a baby, in the next debates he must show up with a 
bottle."
27,3,"can they have the 4th debate? hehe. i am kinda addicted to the hilarious 
and dramatic debate. i am wondering what i a going to do after the 
presidential election. lol"
28,3,hate trump and I hate clinton but frankly trump is the one I would want
29,3,"Trump is just a charlatan, a big liar and a big fraud."
30,3,Bye im moving to Dubai! ;)
31,3,"They are both awful, Trump has business sense but it also racist and 
sexist. Hillary is corrupt but has experience in government, though she 
shouldn't become US President just because she is a woman. Bernie Sanders 
was the only good choice now America is screwed"
32,2,Trump just needs to shut up.
33,3,"if trump wins, im movin to japan"
34,0,I hate Donald Trump he is sick
35,2,Trump is perfect for president
36,0,"Donald Trump needs to stop talking over Hillary. She is trying to make a 
point, and it isn't helping his debate in any way"
37,3,trump as prseident = world war 3
38,3,Hillary is all talk and absolutely no action whatsoever.
39,3,"Bye guys , I'm moving to Canada :)"
40,3,me and my family are libertarions (is that how i spell it?) and im pround
41,3,"Choosing between Trump or Hillary, is like choosing between aids or cancer."
42,3,"all I can do is pray that this country will not go into world war 3 because 
of him."
43,3,"""Small loan"" my ass. A Million dollars is NOT a small loan."
44,3,Really out of 10 billion people u pick these two ????
45,3,look behind Hillary. u see the word Rig
46,3,I'm so hyped for Fallout Go
47,3,What's so bad about Trump?
48,3,"You know the best thing going for Hillary Clinton???

Read More"
49,3,"Trump states what needs done.. Hillary just says things about trump and 
brings up the past... let's hear some policies from you Hillary my god"
50,3,"ok guys I'm gonna get a little emotional here. excuse my ""yelling"". GUYS 
YOU HEAR THE WORD ON THE STREET THAT TRUMP IS RACIST AND THAT HILLARY IS 
DOING BAD THINGS. OK BUT NOT ALL OF IT IS TRUE. YES IN PREVIOUS COMMENTS I 
TEASED THE CANDIDATES. YES THATS ALL FUN AND GAMES. BUT NOW WHEN IT GETS 
SERIOUS. WHEN YOU HAVE TO FREAKING GROW UP. SURE IM NOT OLD ENOUGH TO VOTE 
YET. BUT WHEN YOU DO TAKE MY WORDS. THE MEMES, THE LIES, THE JOKES. WHEN 
YOU VOTE. DONT YOU DARE THINK OF ONE OF THOSE. EVER. LOOK AT THEIR 
BACKGROUND. LOOK AT WHAT THEY DO FOR A LIVING. LOOK AT WHAT THEY ARE SAYING 
WHAT THEY WANT TO DO. OK SURE DONALD TRUMP INNTERUPTS HILLARY A WHOLE LOT. 
BUT THATS WHAT THEY DO IN DEBATES. THEY FIGHT AND ARGUE. JUST LIKE 
SIBLINGS. SO WHEN YOU VOTE. THINK OF THE REAL THINGS. THATS HOW YOU TRULY 
FIND THE BEST CANDIDATE FOR PRESIDENT. SURE IF THEY LIE ON WHAT THEY SAY 
YOU KNOW WHAT AMERICA NEEDS THEN. EVERYBODY IS HATING ON OBAMA. BUT YOU 
GUYS VOTED ON HIM FOR EIGHT YEARS. SO IF YOU HAVE A PROBLEM WITH WHAT IM 
SAYING RIGHT NOW TELL ME. I BELIEVE WHAT I BELIEVE I HAVE PASSED A TEST ON 
POLITICS. I LEARNED HOW TO EVALUATE A CANDIDATE. YOU CAN NOW PICK AND 
CHOOSE. AND LIKE I SAID IF YOU HAVE A PROBLEM WITH THIS TELL ME BECAUSE I 
NEVER SAID WHO I THINK IS BETTER. NOW AMERICA I LEAVE THIS IN YOUR HANDS. 
Thank you and have a nice day.😉"
51,3,"Sure, trump is sexual predator, a racist, a charlatan, and a big idiot, 
but, who cares? He is just going to be president of united states, and 
nobody should worry?"
52,3,"im so sick of listening to hillary bs. with her fake smile and her lies. 
makes me sick."
53,0,"CHINA,CHINA,CHINA,CHINA...WHAT THE HELL DO WE OWE YOU DONALD TRUMP???"
54,3,Let's see... rich guy or woman that lies I go with rich guy
55,3,"I wanted to go out today, but this is even more entertaining. Good luck 
America! So happy I don't live there"
56,1,People please vote for HILLARY!!!!
57,3,"She is worthless, and a THEIF !! Thank God she lost, congrats to PRESIDENT 
ELECT TRUMP !"
58,3,"Do you really want that person to be the next president, maybe he has good 
points, but is a terrible human being, he is the most horrific person after 
Hitler"
59,3,"I'm really scared. I don't like any of them but it's been my life long 
dream to live in America. I'm turkish and of course a muslim, if Donald 
Trump wins i won't be able to move to USA. I'm feeling so stressed and I've 
already planned my future in USA with my cousin/best friend, it all will 
crash down if he wins. I'm not saying Hillary is better or smarter but 
seriously he has a lot of dumb ideas, he wants to remove muslims from the 
country and build a wall. Many families will be separated! I understand 
that he mostly thinks about ISIS but that doesn't mean all of the muslims 
are dangerous. 95% muslims are really peaceful. I wouldn't even hurt a fly."
60,1,do not vote for Donltromp or Hilerycliton!‼‼!😧
61,2,trump goes off topic alot if you havent notice
