,label,text
0,2,"Let's play Russian roulette 






every 2th like dies"
1,2,Stop asking him about the stupid bus
2,1,I can't stand that wicked fake smiling bitch Hillary Clinton.
3,2,"Well well well, that smirk that was on her face thru this debate was 
removed by the American people. She has been knocked off her throne, never 
to regain her seat again! Way to go America! Way to go....."
4,0,"lol who's just only tuning in to the debates now Trump has won. certainly 
me!😅🙈"
5,2,"I'm Brazilian (therefore not much into American Elections) but correct me 
if I'm wrong...
USA must decide between voting for a crazy businessman who says mean things 
and a compulsive liar who does mean things, right? 

You're screwed either way, but one thing I can assure: I would never vote 
for the second option."
6,2,AMERICA HAS TO CHOOSE BETWEEN BAD AND WORSE
7,2,I watched this while doing my homework.
8,2,"This is the best two hours of my life of watching these two biggest frauds 
pointing each other fault line rather than resorting a strategy how to fix 
this country up."
9,2,"Do not vote if you don't want none of these two for president. It's your 
right to do so and expressing your discontent. Do not be blackmailed into 
voting a candidate in which you don't believe"
10,2,"Hillary Clinton is, according to some people, in league with child 
traffickers and Satanic practitioners. Donald Trump is, according to some 
people, pals with Jeffery Epstein, owner of ‘pedo-island’. 

Who to believe? 

Something that is an absolute fact is, I really don’t know either one of 
these individuals. 

They are just personas put out for me on various viewing screens. I’m 
suppose to pick one of these people to make decisions on my behalf that 
will impact my life? 

The whole thing is actually quite ABSURD!!!

“Democracy” is one big dumb CULT!"
11,2,"Good Luck America. I hope whatever happens will be the best for the 
country. I personally would vote against Trump, not because Clinton is good 
but because Trump is worse in my Opinion. I hope you will Vote, think 
before you vote and vote not only for your advantages but for the 
advantages of the whole United States and the rest of the World since this 
election does not only effect America . ( I guess i'm gonna get criticised 
for hoping for the best, since I have been before by Trumps supporters if 
not commenting 100% positive or against Trump)"
12,2,Wow look at the guy in the background while karl becker is speaking.
13,1,I can't even watch that snake.. Hillary needs to die
14,0,"I can't vote, but I'm just curious. If both of them are in trouble with the 
law (Clinton with emails I believe and Trump with fraud(?something with 
Trump university) case and rape case going to court) why are they allowed 
to run? Just wondering. 😄"
15,2,20:15 best part!
16,0,"Donald Trump made his money off of hard work.Hillary makes her money from 
dodgy deals and donations"
17,0,Every like on this comment is for hilary. Every comment is for trump.
18,2,"Dear Americans. The world is laughing at your stupidity. Nobody outside of 
the US will have any sympathy for you later on down the line. Brainless 
country."
19,2,"Trump won the debate at 20:10. Couldve dropped the mic and walked off stage 
after that and still wouldve won"
20,2,"People have a bad look at Trump because the media smeared him. Where was 
his evil all these years when the world knew him, including all these women 
he suppose abused so badly. Once he gets elected president - which I 
believe so - people will have the same view they had until now."
21,2,I'll gladly vote a dead gorilla as president than these two cretins.
22,2,"Nobody should support that charlatan and sexual predator trump. He will 
betray anybody at any moment cause he is a fraud and a coward."
23,2,"""because you'd be in fail""... lol"
24,2,why dont you release your hundreds of thousands of emails crooked bitch
25,2,"These debates are just arguing, questioning judgment, and blocking out the 
host. I feel so bad for that guy."
26,2,"""Nobody has more respect for women than I do""

I'm sure Ron Paul has more respect for women than you Mr. Trump. --reality"
27,0,"Well, if Donald Trump wins I would miss alot of good people :( 
How shitty this world is"
28,2,We hope the same surprise in France in 2017....;)
29,2,Anyone notice the fly that lands on Hilary's face @ 14:46 ?
30,2,"""Neither of the candidates are worthy."" - Europe"
31,0,why donal trump is not beter than clinton?
32,2,"Republicans have a big lie named trump, a racist, sexaul predator, and a 
bigot."
33,0,HE IS A HERO <3 TRUMP
34,2,"Trump and the republicans are very stupid and very dangerous for everybody. 
He is a racist, a big charlatan, and sexual predator, and the republican 
leaders are just idiots."
35,2,"Okay the first question donald trump did not say anything involving the 
question, it was about if he thought he was a good influence or role model 
to children and he started talking about american law and order and change"
36,2,Hey look the roast is at 20:16 c;
37,2,"There is no way an idiot like trump, who is a proven fraud, a well known 
racist, and a long time women abuser can be trusted anymore. He is a big 
disgrace."
38,2,"Why was Anderson Cooper so confused about how men talk about women in 
private?"
39,2,"our lord and saver Donald trump. 

make American great again by building the great wall of Mexico."
40,0,trump you have to win
41,2,"Hi Americans, I'm from Estonia. Trump is a clown, corrupt & miserable 
politician! He looks inadequately like a most of Post-Soviet's politicians. 
Clinton seems to be a better candidate, don't destroy your country."
42,2,"Let's be clear : all the politicians lie. It's their job. But in addition 
to being a liar, uncle Donald is a creepy person with dirty opinions. Make 
the right choice for you and for the world. Please, sincerely from France 
(sorry for possible bad writing we're french u know)"
43,2,"We are great because we are good blah blah blah just words I want to hear 
policy and how your going to change it americans are not dumb anymore we 
look for facts. Who agrees?"
44,1,"Believe me!!!support Trump...if you support Hillary,you will 
regret!!!👀👀Hillary will made more wars in the world!!hillary=devil and 
liar。"
45,2,"That racist and sexual predator Trump has corrupted many fools minds with 
his doctrines of hate, lies and stupidity."
46,0,"Hillary Clinton is our hero, Donald trump is the worst, Clinton will take 
care of everyone. Donald Trump is just so dumb and stupid, Like if you 
agree"
47,0,Trump won the America is going to an end
48,2,"How was Trump able to get so far? Guys, don't elect him. He rlly reminds me 
of the german history. And if you don't know what I am talking about and if 
you don't know what terrible things happend there, then you should rlly go 
check that. Then you can think about if you still like Trump again."
49,2,haha
50,2,"Obama, come back. I'll never let you go Obama."
51,2,"i am from India and i feel Donald Trump is the need for USA 
....Globalistaion is going to experience its slow death maybe in the next 
20 years or so and the next superpower gonna be China and Russia.....USA 
india will become close friends and hence these two will give tough 
competition to the russia-china nexus"
52,0,TRUMP IS A RAPIST!!!!!
53,0,"It was pretty fu#$ed up that they kept interrupting trump and going Hillary 
more time to talk than trump at some parts."
54,0,"Trump is just looking for power and for money and he will lie about 
everything and acuse anybody if he has to."
55,0,"I'm only 16 so I can't vote yet. However, if I was to I'd definitely vote 
for Trump. He seems to be more peaceful and easy - going, and has tried to 
avoid getting into scandals recently. However, Clinton has still not 
responded to 50% of the crimes she's committed. Not saying Trump is 
innocent, but he seems to not be spouting out propaganda bs like Clinton to 
brainwash her supporters. Triggered SJWS who think abortion is OK, feel 
free to reply"
