,0,num_char,num_word,num_sent,TTR,FRE
0,"Let's play Russian roulette 






every 2th like dies",54,9,1,1.0,84.9
1,Stop asking him about the stupid bus,36,7,1,1.0,78.8728571429
2,I can't stand that wicked fake smiling bitch Hillary Clinton.,61,12,1,1.0,81.855
3,"Well well well, that smirk that was on her face thru this debate was 
removed by the American people. She has been knocked off her throne, never 
to regain her seat again! Way to go America! Way to go.....",205,46,4,0.760869565217,101.366847826
4,"lol who's just only tuning in to the debates now Trump has won. certainly 
me!😅🙈",82,19,2,1.0,108.139868421
5,"I'm Brazilian (therefore not much into American Elections) but correct me 
if I'm wrong...
USA must decide between voting for a crazy businessman who says mean things 
and a compulsive liar who does mean things, right? 

You're screwed either way, but one thing I can assure: I would never vote 
for the second option.",318,65,2,0.830769230769,67.1213461538
6,AMERICA HAS TO CHOOSE BETWEEN BAD AND WORSE,43,8,1,1.0,71.815
7,I watched this while doing my homework.,39,8,1,1.0,103.54
8,"This is the best two hours of my life of watching these two biggest frauds 
pointing each other fault line rather than resorting a strategy how to fix 
this country up.",168,32,1,0.9375,63.3175
9,"Do not vote if you don't want none of these two for president. It's your 
right to do so and expressing your discontent. Do not be blackmailed into 
voting a candidate in which you don't believe",194,41,3,0.80487804878,91.8560162602
10,"Hillary Clinton is, according to some people, in league with child 
traffickers and Satanic practitioners. Donald Trump is, according to some 
people, pals with Jeffery Epstein, owner of ‘pedo-island’. 

Who to believe? 

Something that is an absolute fact is, I really don’t know either one of 
these individuals. 

They are just personas put out for me on various viewing screens. I’m 
suppose to pick one of these people to make decisions on my behalf that 
will impact my life? 

The whole thing is actually quite ABSURD!!!

“Democracy” is one big dumb CULT!",562,108,8,0.685185185185,90.5158333333
11,"Good Luck America. I hope whatever happens will be the best for the 
country. I personally would vote against Trump, not because Clinton is good 
but because Trump is worse in my Opinion. I hope you will Vote, think 
before you vote and vote not only for your advantages but for the 
advantages of the whole United States and the rest of the World since this 
election does not only effect America . ( I guess i'm gonna get criticised 
for hoping for the best, since I have been before by Trumps supporters if 
not commenting 100% positive or against Trump)",557,111,5,0.630630630631,77.5992972973
12,Wow look at the guy in the background while karl becker is speaking.,68,14,1,0.928571428571,95.9392857143
13,I can't even watch that snake.. Hillary needs to die,52,11,1,1.0,95.6881818182
14,"I can't vote, but I'm just curious. If both of them are in trouble with the 
law (Clinton with emails I believe and Trump with fraud(?something with 
Trump university) case and rape case going to court) why are they allowed 
to run? Just wondering. 😄",251,57,4,0.754385964912,100.350197368
15,20:15 best part!,16,4,1,1.0,160.475
16,"Donald Trump made his money off of hard work.Hillary makes her money from 
dodgy deals and donations",100,17,1,0.941176470588,90.0505882353
17,Every like on this comment is for hilary. Every comment is for trump.,69,15,2,0.666666666667,80.7825
18,"Dear Americans. The world is laughing at your stupidity. Nobody outside of 
the US will have any sympathy for you later on down the line. Brainless 
country.",157,31,4,0.870967741935,78.8913306452
19,"Trump won the debate at 20:10. Couldve dropped the mic and walked off stage 
after that and still wouldve won",109,21,2,0.857142857143,116.315
20,"People have a bad look at Trump because the media smeared him. Where was 
his evil all these years when the world knew him, including all these women 
he suppose abused so badly. Once he gets elected president - which I 
believe so - people will have the same view they had until now.",284,58,3,0.810344827586,85.1082183908
21,I'll gladly vote a dead gorilla as president than these two cretins.,68,14,1,1.0,95.9392857143
22,"Nobody should support that charlatan and sexual predator trump. He will 
betray anybody at any moment cause he is a fraud and a coward.",135,26,2,0.884615384615,63.4861538462
23,"""because you'd be in fail""... lol",33,10,1,1.0,145.925
24,why dont you release your hundreds of thousands of emails crooked bitch,71,12,1,0.916666666667,81.855
25,"These debates are just arguing, questioning judgment, and blocking out the 
host. I feel so bad for that guy.",109,23,2,0.913043478261,99.5277173913
26,"""Nobody has more respect for women than I do""

I'm sure Ron Paul has more respect for women than you Mr. Trump. --reality",121,28,2,0.75,89.8964285714
27,"Well, if Donald Trump wins I would miss alot of good people :( 
How shitty this world is",88,20,1,1.0,97.705
28,We hope the same surprise in France in 2017....;),49,13,1,0.923076923077,135.070769231
29,Anyone notice the fly that lands on Hilary's face @ 14:46 ?,59,13,1,1.0,96.0246153846
30,"""Neither of the candidates are worthy."" - Europe",48,11,2,1.0,108.961590909
31,why donal trump is not beter than clinton?,42,9,1,1.0,131.9
32,"Republicans have a big lie named trump, a racist, sexaul predator, and a 
bigot.",80,18,1,0.777777777778,94.565
33,HE IS A HERO <3 TRUMP,21,7,1,1.0,127.215714286
34,"Trump and the republicans are very stupid and very dangerous for everybody. 
He is a racist, a big charlatan, and sexual predator, and the republican 
leaders are just idiots.",175,34,2,0.705882352941,57.7035294118
35,"Okay the first question donald trump did not say anything involving the 
question, it was about if he thought he was a good influence or role model 
to children and he started talking about american law and order and change",223,41,1,0.80487804878,41.4151219512
36,Hey look the roast is at 20:16 c;,33,9,1,1.0,131.9
37,"There is no way an idiot like trump, who is a proven fraud, a well known 
racist, and a long time women abuser can be trusted anymore. He is a big 
disgrace.",157,37,2,0.783783783784,89.7385810811
38,"Why was Anderson Cooper so confused about how men talk about women in 
private?",79,15,1,0.933333333333,67.53
