,label,text
0,2,[Returning to the routine after the debate.](http://i.imgur.com/k5XrRZt.jpg)
1,0,"I thought I was hallucinating when they did that close zoom in on Hillary's face. ""Am I watching SNL by accident?"""
2,0,"They're so totally doing that next week.

And the fly."
3,0,I hope they can get Jeff Goldblum to reprise the role.
4,0,I thought the fly was in our house
5,4,I seriously had to ask someone if the fly actually landed on her face or if it was just on my TV.
6,0,Welcome to the Westworld
7,4,What on earth just happened.
8,4,"Honestly that was a first in US history in terms of pure bloodbath debates. I doubt we will ever see anything like that again. 

The fact that we are here with these two candidates is proof that like it or not, there is some divide in this country.

I can't believe I just watched that. "
9,2,Well there is a third debate. We may see worse!
10,0,"Recent history, maybe. You're forgetting 18th and 19th century debates where Congressmen would beat each other with sticks and challenge each other to pistol duels."
11,2,"Seriously, has no one read a single history book? If people think this was even remotely a ""bloody debate"" they're incredibly uninformed. "
12,3,"Yeah, Andrew Jackson would beat Trump over the head with his cane. And then Aaron Burr would shoot him."
13,3,"Jackson might support the whole ""send the illegals packing"" thing, though. Although in a much more violent fashion than I imagine Donald Trump plans.
"
14,0,history and disappointment 
15,0,Shit..........show......
16,2,"> The four women — three of whom have alleged Bill Clinton sexually assaulted or harassed them years ago — were to walk in the debate hall at the same time as the 42nd president and confront him in front of a national television audience.

Jesus Christ 

edit: https://www.washingtonpost.com/news/post-politics/wp/2016/10/10/trumps-debate-plan-to-seat-bill-clintons-accusers-in-family-box-was-thwarted/?postshare=8601476079002017&tid=ss_tw"
17,0,That explains why he looked furious at the beginning
18,0,I figured it was the lack of balloons.
19,4,"""Why didn""t you bring up the emails?""

""We just did.""

""No..."""
20,0,Literally after talking about the emails. 
21,4,"I wanted Obama to come out, out of nowhere, unannounced, like on some WWE type shit."
22,0,"""That's Obama's music!!!""

EDIT: Since everyone's suggesting music, [this](https://youtu.be/NgqbjlUp35U?t=12s) was what I was hearing in my head."
23,0,"*""X gonna give it to ya"" starts to play*"
24,0,"AWWWWW DONNIE BOYYYYYYY

DON'T YOU DARE BE SOUR 

CLAP FOR YOUR WORLD FAMOUS 2 TERM PREZ

AND FEEEEEEEL THE POWWWWWWER "
25,0,"""Bah gawd! That's..Who is this Michael?! Thats Obama! It's Obama! Obama is here! OH MY GOD reasonable arguments out of nowhere!"""
26,0,The-rock-obama!
