,0,num_char,num_word,num_sent,TTR,FRE
0,"I'm sick and tired of those who say Hillary has no great accomplishments. I 
would say staying out of prison for the crimes she committed in the last 
four decades is a great accomplishment.",190,37,2,0.837837837838,76.0196621622
1,"This is almost terrifying to watch! how can any of these two rule a 
country! #Nobodyforpresident",97,19,3,0.947368421053,106.901403509
2,Who's watching this after the election.,39,8,1,1.0,82.39
3,"Yelling over your opponent is not how you win a debate, Donnie.",63,14,1,1.0,83.8535714286
4,"LOOOL Trump. Your temperament is terrible.You're a tyrant. Take several 
seats. and OML if Hilary smiles one more time, I swear I'm gonna jump off 
this roof.",158,35,4,0.885714285714,120.605178571
5,"You know what's weird? Trump says Mexicans should go back to Mexico,Muslims 
should go back to the west, But he doesn't like saying that americans are 
immigrants.",163,34,2,0.852941176471,90.0505882353
6,"I really don't care what happens because the president doesn't have all the 
power. The U.S.A's main governmental power is divided into three branches, 
as we all know: The Executive Branch, The Legislative Branch, and The 
Judicial Branch. If the president wants to sent out new laws, 2/3 of the 
Legislative Branch must agree on it, or else it would be overwrited.",366,74,3,0.716216216216,81.1929279279
7,THEY BOTH NEED TO STOP INTERRUPTING THAT POOR MAN !!!!!!!!!!,60,19,2,0.526315789474,143.760921053
8,why is trump always so triggered,32,6,1,1.0,87.945
9,"I don't live in the US, have never been there (I'd love to go though), but 
I still watch these. Your American politics are hilarious ;D",136,34,2,0.911764705882,100.003529412
10,Where's Hilary's shoulder shake? Lol,36,8,2,0.875,107.6
11,A small loan of a million dollars,33,7,1,1.0,90.9585714286
12,people ask me why i watch these and idk I find it so entertaining,65,14,1,1.0,89.8964285714
13,"W O W, AMERICA!!!!!!!...you are a country of 319 MILLION people and the 
best you can do for a potential president is one of these two!!!!?!?!?!!!!! 
Would you like to borrow a paddle?? LOL",189,60,4,0.55,122.52
14,"To me it feels like all the hosts are against Trump and thats not right, 
they should be neutral.",97,21,1,1.0,104.948571429
15,ANYBODY HERE NOW,16,3,1,1.0,34.59
16,How would you vote for this? It is just impossible😂,52,11,2,1.0,132.034318182
17,We are soooo going to miss President Obama! 😔😔😔,50,10,2,1.0,100.24
18,"If Hillary Clinton was a ship, she would be called the Titanic! And Donald 
Trump is the iceberg! And we all know what happened to the Titanic!",143,31,3,0.806451612903,95.3724731183
19,"even though I am a Muslim, even though I am not gonna vote, yet I would 
never vote for a fake person such as Clinton! her laughs, her smiles, her 
answers, even her her nodding are all fake.",191,46,2,0.630434782609,93.3726086957
20,Hilary is a criminal.,21,5,1,1.0,66.4
21,"THANK YOU LORD that I live in South Africa. I just have to choose between a 
bald ass penguin and a nincampoop!!!!",114,27,3,0.814814814815,119.366666667
22,"I feel like Trump and Hilary are two divorced parents fighting over custody 
of us, but we kinda just wana go live with grandma.",128,26,1,1.0,69.8142307692
23,"I love Donald Trump. I hate Hilary Cliton! Because she is such a liar and 
she didn't deserve to be president. Donald Trump won the election last 
week, and I'm happy because he and Mike Pence Vice President are going to 
make America great again!",247,52,4,0.807692307692,87.89
24,"Trump was right. Stop and Frisk did help a lot. According to wall street 
journal, Homicide, Rape and Robbery increased and has been since the new 
person came in",162,33,3,0.878787878788,98.2518181818
25,"This is literally two grown adults talking over each other like children. 
Seriously, no respect for each other nor for the guy trying to keep them on 
topic. This is a joke.",174,36,3,0.805555555556,84.205
26,"Trump always acting like a baby, in the next debates he must show up with a 
bottle.",84,19,1,0.947368421053,89.5921052632
27,"can they have the 4th debate? hehe. i am kinda addicted to the hilarious 
and dramatic debate. i am wondering what i a going to do after the 
presidential election. lol",168,35,5,0.742857142857,81.29
28,hate trump and I hate clinton but frankly trump is the one I would want,71,15,1,0.8,95.73
29,"Trump is just a charlatan, a big liar and a big fraud.",54,14,1,0.785714285714,101.982142857
30,Bye im moving to Dubai! ;),26,8,2,1.0,128.75
31,"They are both awful, Trump has business sense but it also racist and 
sexist. Hillary is corrupt but has experience in government, though she 
shouldn't become US President just because she is a woman. Bernie Sanders 
was the only good choice now America is screwed",265,50,3,0.86,71.4783333333
32,Trump just needs to shut up.,28,7,1,1.0,127.215714286
33,"if trump wins, im movin to japan",32,8,1,1.0,124.69
34,I hate Donald Trump he is sick,30,7,1,1.0,103.044285714
35,Trump is perfect for president,30,5,1,1.0,66.4
36,"Donald Trump needs to stop talking over Hillary. She is trying to make a 
point, and it isn't helping his debate in any way",123,27,2,0.925925925926,89.7325
37,trump as prseident = world war 3,32,7,1,1.0,151.387142857
38,Hillary is all talk and absolutely no action whatsoever.,56,10,1,1.0,44.405
39,"Bye guys , I'm moving to Canada :)",34,10,1,1.0,112.085
40,me and my family are libertarions (is that how i spell it?) and im pround,73,18,2,0.944444444444,127.2
41,"Choosing between Trump or Hillary, is like choosing between aids or cancer.",75,14,1,0.857142857143,77.8107142857
42,"all I can do is pray that this country will not go into world war 3 because 
of him.",84,20,1,1.0,97.705
43,"""Small loan"" my ass. A Million dollars is NOT a small loan.",59,16,2,0.875,124.69
44,Really out of 10 billion people u pick these two ????,53,14,2,0.785714285714,127.215714286
45,look behind Hillary. u see the word Rig,39,9,2,1.0,98.8675
46,I'm so hyped for Fallout Go,27,7,1,1.0,103.044285714
47,What's so bad about Trump?,26,7,1,1.0,115.13
48,"You know the best thing going for Hillary Clinton???

Read More",63,14,2,0.857142857143,109.087142857
49,"Trump states what needs done.. Hillary just says things about trump and 
brings up the past... let's hear some policies from you Hillary my god",143,27,1,0.962962962963,79.1633333333
50,"ok guys I'm gonna get a little emotional here. excuse my ""yelling"". GUYS 
YOU HEAR THE WORD ON THE STREET THAT TRUMP IS RACIST AND THAT HILLARY IS 
DOING BAD THINGS. OK BUT NOT ALL OF IT IS TRUE. YES IN PREVIOUS COMMENTS I 
TEASED THE CANDIDATES. YES THATS ALL FUN AND GAMES. BUT NOW WHEN IT GETS 
SERIOUS. WHEN YOU HAVE TO FREAKING GROW UP. SURE IM NOT OLD ENOUGH TO VOTE 
YET. BUT WHEN YOU DO TAKE MY WORDS. THE MEMES, THE LIES, THE JOKES. WHEN 
YOU VOTE. DONT YOU DARE THINK OF ONE OF THOSE. EVER. LOOK AT THEIR 
BACKGROUND. LOOK AT WHAT THEY DO FOR A LIVING. LOOK AT WHAT THEY ARE SAYING 
WHAT THEY WANT TO DO. OK SURE DONALD TRUMP INNTERUPTS HILLARY A WHOLE LOT. 
BUT THATS WHAT THEY DO IN DEBATES. THEY FIGHT AND ARGUE. JUST LIKE 
SIBLINGS. SO WHEN YOU VOTE. THINK OF THE REAL THINGS. THATS HOW YOU TRULY 
FIND THE BEST CANDIDATE FOR PRESIDENT. SURE IF THEY LIE ON WHAT THEY SAY 
YOU KNOW WHAT AMERICA NEEDS THEN. EVERYBODY IS HATING ON OBAMA. BUT YOU 
GUYS VOTED ON HIM FOR EIGHT YEARS. SO IF YOU HAVE A PROBLEM WITH WHAT IM 
SAYING RIGHT NOW TELL ME. I BELIEVE WHAT I BELIEVE I HAVE PASSED A TEST ON 
POLITICS. I LEARNED HOW TO EVALUATE A CANDIDATE. YOU CAN NOW PICK AND 
CHOOSE. AND LIKE I SAID IF YOU HAVE A PROBLEM WITH THIS TELL ME BECAUSE I 
NEVER SAID WHO I THINK IS BETTER. NOW AMERICA I LEAVE THIS IN YOUR HANDS. 
Thank you and have a nice day.😉",1362,307,34,0.491856677524,107.283176375
51,"Sure, trump is sexual predator, a racist, a charlatan, and a big idiot, 
but, who cares? He is just going to be president of united states, and 
nobody should worry?",165,39,2,0.717948717949,85.0886538462
52,"im so sick of listening to hillary bs. with her fake smile and her lies. 
makes me sick.",88,21,3,0.809523809524,115.13
53,"CHINA,CHINA,CHINA,CHINA...WHAT THE HELL DO WE OWE YOU DONALD TRUMP???",69,20,2,0.65,120.545
54,Let's see... rich guy or woman that lies I go with rich guy,59,15,1,0.866666666667,107.01
55,"I wanted to go out today, but this is even more entertaining. Good luck 
America! So happy I don't live there",109,25,3,0.96,93.4726666667
56,People please vote for HILLARY!!!!,34,9,2,0.666666666667,127.0675
