,text,z1,z2
0,"I'm sick and tired of those who say Hillary has no great accomplishments. I 
would say staying out of prison for the crimes she committed in the last 
four decades is a great accomplishment.",-0.136045814604,0.106292366004
1,"This is almost terrifying to watch! how can any of these two rule a 
country! #Nobodyforpresident",-0.147612726522,-0.118512244363
2,Who's watching this after the election.,-0.133071958152,-0.102694600644
3,"Yelling over your opponent is not how you win a debate, Donnie.",-0.152294453595,-0.097261402368
4,"LOOOL Trump. Your temperament is terrible.You're a tyrant. Take several 
seats. and OML if Hilary smiles one more time, I swear I'm gonna jump off 
this roof.",0.120840570978,-0.107375117393
5,"You know what's weird? Trump says Mexicans should go back to Mexico,Muslims 
should go back to the west, But he doesn't like saying that americans are 
immigrants.",0.0497314107321,-0.084281195663
6,"I really don't care what happens because the president doesn't have all the 
power. The U.S.A's main governmental power is divided into three branches, 
as we all know: The Executive Branch, The Legislative Branch, and The 
Judicial Branch. If the president wants to sent out new laws, 2/3 of the 
Legislative Branch must agree on it, or else it would be overwrited.",-0.121247042308,-0.112731238575
7,THEY BOTH NEED TO STOP INTERRUPTING THAT POOR MAN !!!!!!!!!!,-0.116279616901,-0.103428465426
8,why is trump always so triggered,0.858835225635,-0.0205401630898
9,"I don't live in the US, have never been there (I'd love to go though), but 
I still watch these. Your American politics are hilarious ;D",-0.150828598108,-0.117114278846
10,Where's Hilary's shoulder shake? Lol,-0.129330245289,-0.116425195932
11,A small loan of a million dollars,-0.109639381835,-0.0808997184251
12,people ask me why i watch these and idk I find it so entertaining,-0.133025766564,-0.116495375181
13,"W O W, AMERICA!!!!!!!...you are a country of 319 MILLION people and the 
best you can do for a potential president is one of these two!!!!?!?!?!!!!! 
Would you like to borrow a paddle?? LOL",-0.155238113792,-0.147197340074
14,"To me it feels like all the hosts are against Trump and thats not right, 
they should be neutral.",0.225623444628,-0.0542891947093
15,ANYBODY HERE NOW,-0.109639381835,-0.0808997184251
16,How would you vote for this? It is just impossible😂,-0.140504445002,-0.112798832563
17,We are soooo going to miss President Obama! 😔😔😔,-0.122700643324,-0.117956977059
18,"If Hillary Clinton was a ship, she would be called the Titanic! And Donald 
Trump is the iceberg! And we all know what happened to the Titanic!",0.159304116735,0.404954699962
19,"even though I am a Muslim, even though I am not gonna vote, yet I would 
never vote for a fake person such as Clinton! her laughs, her smiles, her 
answers, even her her nodding are all fake.",-0.129908566693,-0.00415292750421
20,Hilary is a criminal.,-0.115439856821,-0.121269346419
21,"THANK YOU LORD that I live in South Africa. I just have to choose between a 
bald ass penguin and a nincampoop!!!!",-0.150007605805,-0.138803342784
22,"I feel like Trump and Hilary are two divorced parents fighting over custody 
of us, but we kinda just wana go live with grandma.",0.0697377438344,-0.120155827366
23,"I love Donald Trump. I hate Hilary Cliton! Because she is such a liar and 
she didn't deserve to be president. Donald Trump won the election last 
week, and I'm happy because he and Mike Pence Vice President are going to 
make America great again!",0.213105901603,-0.0899775593675
24,"Trump was right. Stop and Frisk did help a lot. According to wall street 
journal, Homicide, Rape and Robbery increased and has been since the new 
person came in",0.0523862964572,-0.078135819197
25,"This is literally two grown adults talking over each other like children. 
Seriously, no respect for each other nor for the guy trying to keep them on 
topic. This is a joke.",-0.112718941585,-0.0755608072501
26,"Trump always acting like a baby, in the next debates he must show up with a 
bottle.",0.378949109058,-0.0346335117363
27,"can they have the 4th debate? hehe. i am kinda addicted to the hilarious 
and dramatic debate. i am wondering what i a going to do after the 
presidential election. lol",-0.165256033498,-0.108606371199
28,hate trump and I hate clinton but frankly trump is the one I would want,0.234094727422,-0.0119756622747
29,"Trump is just a charlatan, a big liar and a big fraud.",0.0692882003995,-0.10886627401
30,Bye im moving to Dubai! ;),-0.124740248715,-0.0920684103944
31,"They are both awful, Trump has business sense but it also racist and 
sexist. Hillary is corrupt but has experience in government, though she 
shouldn't become US President just because she is a woman. Bernie Sanders 
was the only good choice now America is screwed",0.0439224958123,0.100754903896
32,Trump just needs to shut up.,0.183569061399,-0.0925852332785
33,"if trump wins, im movin to japan",0.155889247681,-0.0705669728947
34,I hate Donald Trump he is sick,0.308815382248,-0.0346519063794
35,Trump is perfect for president,0.430618550396,-0.0868179642311
36,"Donald Trump needs to stop talking over Hillary. She is trying to make a 
point, and it isn't helping his debate in any way",0.0828455162931,0.13662613546
37,trump as prseident = world war 3,0.192387011608,-0.0621053999152
38,Hillary is all talk and absolutely no action whatsoever.,-0.186951498912,0.857645521989
39,"Bye guys , I'm moving to Canada :)",-0.109639381835,-0.0808997184251
40,me and my family are libertarions (is that how i spell it?) and im pround,-0.124740248715,-0.0920684103944
41,"Choosing between Trump or Hillary, is like choosing between aids or cancer.",0.254768208922,0.476486623329
42,"all I can do is pray that this country will not go into world war 3 because 
of him.",-0.133119411284,-0.0995435733868
43,"""Small loan"" my ass. A Million dollars is NOT a small loan.",-0.109639381835,-0.0808997184251
44,Really out of 10 billion people u pick these two ????,-0.126857894557,-0.113145403048
45,look behind Hillary. u see the word Rig,-0.164016366048,0.405802307819
46,I'm so hyped for Fallout Go,-0.109639381835,-0.0808997184251
47,What's so bad about Trump?,0.289403341071,-0.0883593154826
48,"You know the best thing going for Hillary Clinton???

Read More",-0.167719644224,0.280515208743
49,"Trump states what needs done.. Hillary just says things about trump and 
brings up the past... let's hear some policies from you Hillary my god",0.123002140071,0.255016447778
50,"ok guys I'm gonna get a little emotional here. excuse my ""yelling"". GUYS 
YOU HEAR THE WORD ON THE STREET THAT TRUMP IS RACIST AND THAT HILLARY IS 
DOING BAD THINGS. OK BUT NOT ALL OF IT IS TRUE. YES IN PREVIOUS COMMENTS I 
TEASED THE CANDIDATES. YES THATS ALL FUN AND GAMES. BUT NOW WHEN IT GETS 
SERIOUS. WHEN YOU HAVE TO FREAKING GROW UP. SURE IM NOT OLD ENOUGH TO VOTE 
YET. BUT WHEN YOU DO TAKE MY WORDS. THE MEMES, THE LIES, THE JOKES. WHEN 
YOU VOTE. DONT YOU DARE THINK OF ONE OF THOSE. EVER. LOOK AT THEIR 
BACKGROUND. LOOK AT WHAT THEY DO FOR A LIVING. LOOK AT WHAT THEY ARE SAYING 
WHAT THEY WANT TO DO. OK SURE DONALD TRUMP INNTERUPTS HILLARY A WHOLE LOT. 
BUT THATS WHAT THEY DO IN DEBATES. THEY FIGHT AND ARGUE. JUST LIKE 
SIBLINGS. SO WHEN YOU VOTE. THINK OF THE REAL THINGS. THATS HOW YOU TRULY 
FIND THE BEST CANDIDATE FOR PRESIDENT. SURE IF THEY LIE ON WHAT THEY SAY 
YOU KNOW WHAT AMERICA NEEDS THEN. EVERYBODY IS HATING ON OBAMA. BUT YOU 
GUYS VOTED ON HIM FOR EIGHT YEARS. SO IF YOU HAVE A PROBLEM WITH WHAT IM 
SAYING RIGHT NOW TELL ME. I BELIEVE WHAT I BELIEVE I HAVE PASSED A TEST ON 
POLITICS. I LEARNED HOW TO EVALUATE A CANDIDATE. YOU CAN NOW PICK AND 
CHOOSE. AND LIKE I SAID IF YOU HAVE A PROBLEM WITH THIS TELL ME BECAUSE I 
NEVER SAID WHO I THINK IS BETTER. NOW AMERICA I LEAVE THIS IN YOUR HANDS. 
Thank you and have a nice day.😉",-0.0495602311674,0.027066907547
51,"Sure, trump is sexual predator, a racist, a charlatan, and a big idiot, 
but, who cares? He is just going to be president of united states, and 
nobody should worry?",0.0812711234117,-0.12775815258
52,"im so sick of listening to hillary bs. with her fake smile and her lies. 
makes me sick.",-0.149123696232,0.239093238176
53,"CHINA,CHINA,CHINA,CHINA...WHAT THE HELL DO WE OWE YOU DONALD TRUMP???",0.0480147497546,-0.0848145159843
54,Let's see... rich guy or woman that lies I go with rich guy,-0.12285413654,-0.0938621430381
55,"I wanted to go out today, but this is even more entertaining. Good luck 
America! So happy I don't live there",-0.155428352748,-0.131218059931
56,People please vote for HILLARY!!!!,-0.151868280829,0.302519427032
57,"She is worthless, and a THEIF !! Thank God she lost, congrats to PRESIDENT 
ELECT TRUMP !",0.213245479403,-0.103966590376
58,"Do you really want that person to be the next president, maybe he has good 
points, but is a terrible human being, he is the most horrific person after 
Hitler",-0.124663257697,-0.115628444187
59,"I'm really scared. I don't like any of them but it's been my life long 
dream to live in America. I'm turkish and of course a muslim, if Donald 
Trump wins i won't be able to move to USA. I'm feeling so stressed and I've 
already planned my future in USA with my cousin/best friend, it all will 
crash down if he wins. I'm not saying Hillary is better or smarter but 
seriously he has a lot of dumb ideas, he wants to remove muslims from the 
country and build a wall. Many families will be separated! I understand 
that he mostly thinks about ISIS but that doesn't mean all of the muslims 
are dangerous. 95% muslims are really peaceful. I wouldn't even hurt a fly.",-0.0211177344223,0.0165055617921
60,do not vote for Donltromp or Hilerycliton!‼‼!😧,-0.115941848735,-0.0501547427504
61,trump goes off topic alot if you havent notice,0.858835225635,-0.0205401630898
62,"This is why I'm for Johnson! Let him debate! Before you come at me with 
Aleppo, remember the missing e-mails on Hillary's side and Trump's 'locker 
room' talk. Before you say how he blanked and couldn't name a foreign 
leader, remember Trump's missing tax returns and Hillary defending a child 
who was raped. Every candidate has flaws. Obviously Johnson will not win, 
but that's not why I'm voting for him. I'm voting for him to send a 
message! I want actual candidates to vote for!

Hillary's ideas of a higher minimum wage and a debt free college are 
unrealistic. Higher minimum wage will only cause inflation and cause the 
value of the US dollar to go down. Minimum wage is just that! Minimum wage, 
it's for entry level positions such as fast food. You will see higher pay 
if you actually applied yourself. So sit your whining asses down! You're 
not looking or applying yourself hard enough! Quit trying to get everything 
handed to you! Debt free college is unrealistic. I don't want my tax money 
to go help a student go to college and flunk out of remedial classes 
because they messed up back in high school or where ever they were 
educated. That's unrealistic, which removes Jill Stein from the equation.

Trump's idea on abortion and gay marriage are too old fashioned for the 
America we have today. Maybe work on the adoption programs and foster care 
we have in place before worrying about being against abortion. He sounds 
like a complete idiot. He'll run America like a business and not like a 
country. 

That's my opinion (as a current college student working a part-time job 
which technically is on minimum wage but + tips).",0.0133773481231,0.149848580412
63,"I just need to ask the Trump supporters, is Trump a racist? I want to 
suport him over the witch but not if hes a racist.",0.214668583413,-0.102544063682
64,"Hilary and Trump are both racists and hate gay people and immigrants so why 
make Hilary look better.",0.0328784197269,-0.111776244337
65,IM COUNTING DOWN THE HOURs UNTIL AMERICA PERISHES.,-0.142728773854,-0.124084680777
66,"Donald Trump sounds like he's literally just playing the blame game and his 
plans sound like they rely a lot on 'if we can do this' or on other people 
- when that doesn't work what's his plans then?
A third world country? This man is truly despicable, how about you go and 
live in a third world country then come back and tell me your sob story 
about airports in the US.
As soon as he starts talking about Nuclear and not taking it off the table 
that should have shut his campaign down instantly.",0.00546217705385,-0.11047250389
67,"As a Brit can someone explain to me how Hillary Clinton won the most votes 
in election but Donald Trump is President Elect?",0.138235895287,0.30787512796
68,"My god she is a smug pos. Anyone voting for this liar/murderer is as 
corrupt and evil as she is",-0.120963364622,-0.104370553615
69,That sexual predator trump is disgusting. No woman shold vote for him.,0.382374482794,-0.0235183857863
70,"This lying bitch got what she deserved. She can now go with her satanic 
friends and eat the blood, sperm and breast milk food they love to gorge 
on. Disgusting freaks.",-0.111655088215,-0.0871450338611
71,"Trump is misleading citizens and humanity, and he is a bad influence for 
anybody in a very tragic way. All he promotes is hate, racism, and bigotry. 
And he is lying to everybody.",0.124394118453,-0.090888379074
72,"Only idiots, racist, and bigots support that sexual predator trump. Some 
people just love bullshit.",0.081754396033,-0.108173609225
73,"I love how Trump in all of the debates, he always wore the American flag. 
True American. He will make America great again. :)",0.0232094579442,-0.117098155582
74,"Trump is the worst person for president any nation could even have. This 
has to be some kind of joke or a nightmare.",0.218219739048,-0.0954220670078
75,"""The gun epidemic is the leading cause of death of young African American 
men""!? What an oversimplified view of a much deeper social problem. Typical 
leftist taking every opportunity to disarm the public.",-0.131237094996,-0.105774796171
76,"A sexual predator and the foreinger gold diger in the white house are like 
an abomination. What the hell is going on?",-0.114183497271,-0.0708017114217
77,"You know guys it is getting down to the wire.  In two days you have to vote 
for president.  Try to put your total feelings aside, I know that neither 
one are great, but what you have to do is look at the one who is most 
worthy..  Clinton who has stole from the country, is on the hit list of the 
FBI,  who is a liar... A women who wants to keep Health Care Reform going 
which is falling in the tanks but the even more disturbing problem is that 
she wants to make it a Single Payer System, Government controlled if you 
don't know what that means.   Meaning that the Government is going to say 
what you can and cannot do in regard to your Healthcare.  That is sad..  Is 
that what you want or the Man who yes may be a little troubled when it 
comes to talking about Women ( which I do not believe all of the omen that 
have SUDDENLEY come about their story) a man who yes took advantage of the 
loop holes in taxes but wants to do something about it,  Who does have good 
ideas on keeping the illegals out while keeping those who work legally in. 
It's on your shoulders now.  Try to make the best decision you can clearly 
thinking who has the best in mind for us.  Do not vote for a Women because 
she is a Women that is ridiculous and if you do you should feel ashamed.",-0.142950687557,-0.0837399423397
78,"TRUMP IS S LOW CLASS, CON ARTIST, BIG LIAR AND THIEF!!! HE'S A SELFISH EVIL 
DEMON!! I CAN NOT BELIEVE YOU STUPID, IGNORANT, LOW SELF ESTEEM WHITE MEN 
VOTED FOR TRUMP!! NOW WE GOT THIS UNEDUCATED CLOWN FACE FOOL, TRYING TO RUN 
A COUNTRY..CAN'T EVEN PAY HIS WORKERS!! ALL TRUMP DOES IS POINT HIS FINGER 
AND BLAME OTHER PEOPLE FOR THIS COUNTRY'S PROBLEMS..LIKE HILARY AND 
DEMOCRATS..AND EVEN HAVE ENOUGH NERVE TO TALK AGAINST PRESIDENT OBAMA.. WHO 
HAS DONE A TREMENDOUS JOB ON THIS COUNTRY'S PROBLEMS... FOR MORE BETTER 
THAN THE REPUBLICAN PARTY COULD HAVE...AND TRUMP NEVER SAYS WHAT HE'S GOING 
TO DO OR FIGURE OUT A SOLUTION TO HELP THIS COUNTRY...ALL HE DOES IS RUN 
HIS BIG MOUTH ALL DAY!!!! HE KNOWS HE'S WRONG AND RACIST.. AND DON'T 
CARE...HILARY IS WAY FAR MORE EDUCATED AND FIT TO BE A PRESIDENT!! THAN 
THAT RED NECK...WHAT A DIRTY SHAME..CRAZY SICK WHITE MEN.. THEY WILL SUFFER 
THE MOST FOR VOTING FOR THIS PSYCHOTIC DEMON!!",0.110244004721,-0.128708637524
79,Omg stop interrupting Hillary Clinton Donald trump!!!!!,0.163451321695,0.39098446903
80,"1:03:58 ""terrible disrespect"" 2 negatives is a positive...",-0.109639381835,-0.0808997184251
